string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO النحويون البصريون
",000,False,000,False,False,False,1,17909
"### || AUTO الطبقة الأولى
",000,False,000,False,False,False,2,1023
"### ||| AUTO 1 - أبو الأسود الدؤلي
",000,False,000,False,False,False,3,932
"### ||| AUTO 2 - عبد الرحمن بن هرمز
",000,False,000,False,False,False,3,85
"### || AUTO الطبقة الثانية
",000,False,000,False,False,False,2,417
"### ||| AUTO 3 - نصر بن عاصم الليثي
",000,False,000,False,False,False,3,90
"### ||| AUTO 4 - يحيى بن يعمر
",000,False,000,False,False,False,3,277
"### ||| AUTO 5 - عنبسة الفيل
",000,False,000,False,False,False,3,30
"### ||| AUTO 6 - ميمون الأقرن
",000,False,000,False,False,False,3,17
"### || AUTO الطبقة الثالثة
",000,False,000,False,False,False,2,370
"### ||| AUTO 7 - ابن أبي عقرب
",000,False,000,False,False,False,3,56
"### ||| AUTO 8 - عبد الله بن أبي إسحاق
",000,False,000,False,False,False,3,311
"### || AUTO الطبقة الرابعة
",000,False,000,False,False,False,2,2206
"### ||| AUTO 9 - أبو عمرو بن العلاء
",000,False,000,False,False,False,3,1001
"### ||| AUTO 10 - أبو سفيان بن العلاء
",000,False,000,False,False,False,3,22
"### ||| AUTO 11 - الأخفش الكبير
",000,False,000,False,False,False,3,48
"### ||| AUTO 12 - عيسى بن عمر
",000,False,000,False,False,False,3,1012
"### ||| AUTO 13 - مسلمة بن عبد الله
",000,False,000,False,False,False,3,29
"### ||| AUTO 14 - بكر بن حبيب السهمي
",000,False,000,False,False,False,3,91
"### || AUTO الطبقة الخامسة
",000,False,000,False,False,False,2,1556
"### ||| AUTO 15 - الخليل بن أحمد
",000,False,000,False,False,False,3,782
"### ||| AUTO 16 - حماد بن سلمة
",000,False,000,False,False,False,3,53
"### ||| AUTO 17 - يونس بن حبيب
",000,False,000,False,False,False,3,531
"### ||| AUTO 18 - يعقوب بن إسحاق الحضرمي
",000,False,000,False,False,False,3,93
"### ||| AUTO 19 - أبو عاصم النبيل
",000,False,000,False,False,False,3,94
"### || AUTO الطبقة السادسة
",000,False,000,False,False,False,2,6174
"### ||| AUTO 20 - النضر بن شميل
",000,False,000,False,False,False,3,1148
"### ||| AUTO 21 - أبو محمد اليزيدي
",000,False,000,False,False,False,3,799
"### ||| AUTO 22 - سيبويه
",000,False,000,False,False,False,3,1520
"### ||| AUTO 23 - أبو الحسن سعيد بن مسعدة الأخفش
",000,False,000,False,False,False,3,395
"### ||| AUTO 24 - أبو عمر الجرمي
",000,False,000,False,False,False,3,184
"### ||| AUTO 25 - علي بن نصر الجهضمي
",000,False,000,False,False,False,3,75
"### ||| AUTO 26 - مؤرج بن عمرو
",000,False,000,False,False,False,3,21
"### ||| AUTO 27 - محمد بن أبي محمد اليزيدي
",000,False,000,False,False,False,3,1251
"### ||| AUTO 28 - أبو جعفر أحمد بن محمد بن أبي محمد اليزيدي
",000,False,000,False,False,False,3,631
"### ||| AUTO 29 - أبو العباس الفضل بن محمد بن أبي محمد اليزيدي
",000,False,000,False,False,False,3,147
"### || AUTO الطبقة السابعة
",000,False,000,False,False,False,2,2591
"### ||| AUTO 30 - أبو عثمان المازني
",000,False,000,False,False,False,3,1314
"### ||| AUTO 31 - أبو حاتم
",000,False,000,False,False,False,3,543
"### ||| AUTO 32 - الرياشي
",000,False,000,False,False,False,3,546
"### ||| AUTO 33 - الزيادي
",000,False,000,False,False,False,3,19
"### ||| AUTO 34 - التوزي
",000,False,000,False,False,False,3,18
"### ||| AUTO 35 - قطرب
",000,False,000,False,False,False,3,148
"### || AUTO الطبقة الثامنة
",000,False,000,False,False,False,2,2190
"### ||| AUTO 36 - أبو العباس المبرد
",000,False,000,False,False,False,3,2158
"### ||| AUTO 37 - الباهلي
",000,False,000,False,False,False,3,29
"### || AUTO الطبقة التاسعة
",000,False,000,False,False,False,2,1117
"### ||| AUTO 38 - أبو إسحاق الزجاج
",000,False,000,False,False,False,3,264
"### ||| AUTO 39 - محمد بن السراج
",000,False,000,False,False,False,3,438
"### ||| AUTO 40 - المبرمان
",000,False,000,False,False,False,3,63
"### ||| AUTO 41 - الفزاري
",000,False,000,False,False,False,3,8
"### ||| AUTO 42 - الأخفش
",000,False,000,False,False,False,3,244
"### ||| AUTO 43 - ابن درستويه
",000,False,000,False,False,False,3,60
"### ||| AUTO 44 - أبو بكر بن أبي الأزهر
",000,False,000,False,False,False,3,11
"### ||| AUTO 45 - أبو بكر محمد بن شقير النحوي
",000,False,000,False,False,False,3,9
"### ||| AUTO 46 - ابن الخياط
",000,False,000,False,False,False,3,13
"### || AUTO الطبقة العاشرة
",000,False,000,False,False,False,2,261
"### ||| AUTO 47 - أبو الفهد البصري
",000,False,000,False,False,False,3,21
"### ||| AUTO 48 - أبو القاسم الزجاجي
",000,False,000,False,False,False,3,25
"### ||| AUTO 49 - أبو سعيد السيرافي
",000,False,000,False,False,False,3,32
"### ||| AUTO 50 - أبو علي الفسوي
",000,False,000,False,False,False,3,20
"### ||| AUTO 51 - علي بن عيسى البغداذي الوراق
",000,False,000,False,False,False,3,12
"### ||| AUTO 52 - الميدمي
",000,False,000,False,False,False,3,6
"### ||| AUTO 53 - أبو طاهر
",000,False,000,False,False,False,3,58
"### ||| AUTO 54 - الكرماني
",000,False,000,False,False,False,3,7
"### ||| AUTO 55 - أبو علي إسماعيل بن القاسم البغدادي
",000,False,000,False,False,False,3,75
"### | AUTO النحويون الكوفيون
",000,False,000,False,False,False,1,5446
"### || AUTO الطبقة الأولى
",000,False,000,False,False,False,2,228
"### ||| AUTO 56 - الرؤاسي
",000,False,000,False,False,False,3,22
"### ||| AUTO 57 - معاذ الهراء
",000,False,000,False,False,False,3,46
"### ||| AUTO 58 - أبو مسلم
",000,False,000,False,False,False,3,154
"### || AUTO الطبقة الثانية
",000,False,000,False,False,False,2,683
"### ||| AUTO 59 - الكسائي
",000,False,000,False,False,False,3,680
"### || AUTO الطبقة الثالثة
",000,False,000,False,False,False,2,878
"### ||| AUTO 60 - الفراء
",000,False,000,False,False,False,3,483
"### ||| AUTO 61 - القاسم بن معن
",000,False,000,False,False,False,3,164
"### ||| AUTO 62 - الأحمر
",000,False,000,False,False,False,3,50
