string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,48283
"### || أخبار البرامكة لأبي جعفر عمر بن الأزرق الكرماني
",000,False,000,False,False,False,2,1734
"### ||| * 
",000,False,000,False,False,False,3,1491
"### || - 2، 3، 4 - كتاب الأحداث لأبي جعفر محمد بن الأزهر وتاريخ محمد بن أبي الأزهر وتاريخ ابن أبي الأزهر والقطربلي ms009
",000,False,000,False,False,False,2,3611
"### ||| * 
",000,False,000,False,False,False,3,2373
"### || 5 - (1) سير الثغور لأبي عمر وعثمان بن عبد الله بن إبراهيم الطرسوسي 400/ - 1010 
",000,False,000,False,False,False,2,2101
"### ||| * 
",000,False,000,False,False,False,3,1807
"### || - 6 - (1) تاريخ العظيمي أبي عبد الله محمد بن علي بن محمد بن أحمد بن نزار التنوخي الحلبي 483 - بعد 556 1097 بعد 1160 
",000,False,000,False,False,False,2,4922
"### ||| * 
",000,False,000,False,False,False,3,4522
"### || - 7 - (1) الاستظهار في التاريخ على الشهور للقاضي أبي القاسم علي بن محمد بن أحمد الرجي المعروف بابن السمناني 493/ - 1100 
",000,False,000,False,False,False,2,429
"### ||| * 
",000,False,000,False,False,False,3,305
"### || - 8 - (1) عنوان السير في محاسن أهل البدو والحضر لأبي الحسن محمد بن عبد الملك الهمنداني "" 463 / 521 "" "" 107/1127 "" 
",000,False,000,False,False,False,2,1600
"### ||| * 
",000,False,000,False,False,False,3,1103
"### || - 9 - تاريخ همام بن الفضل بن جعفر بن علي بن المهذب التنوخي
",000,False,000,False,False,False,2,2872
"### ||| * 
",000,False,000,False,False,False,3,2715
"### || - 10 - 11 ، 12، 13 تواريخ صنفها بنو منقذ
",000,False,000,False,False,False,2,3900
"### ||| 10 - أزهار الأنهار لأسامة بن منقذ
",000,False,000,False,False,False,3,245
"### ||| 11 - ذيل على تاريخ أبي غالب همام بن المهذب المعري عمله أبو المغيث منقذ بن مرشد بن علي بن منقذ
",000,False,000,False,False,False,3,557
"### ||| 12 - تاريخ جمعه (1) أبو ms066 الحسن علي بن مرشد بن علي بن مقلد بن منقذ
",000,False,000,False,False,False,3,2626
"### ||| 13 - مدرج للمرهف بن أسامة بن منقذ علق فيه شيئا من التاريخ 
",000,False,000,False,False,False,3,182
"### || - 14 - (1)  تاريخ مختصر عمله أبو شجاع محمد بن علي بن شعيب الفرضي البغدادي المعروف بابن الدهان (- 592/1195)
",000,False,000,False,False,False,2,591
"### ||| *  
",000,False,000,False,False,False,3,381
"### || - 15 -  ذيل على مختصر تاريخ الطبري أو تاريخ الوزير أبي غالب عبد الواحد بن مسعود بن الحصين الشيباني "" 535 - 597 ""
",000,False,000,False,False,False,2,1505
"### ||| * 
",000,False,000,False,False,False,3,1187
"### || 16 - (1) حلية السريين من خواص الدنيسريين لأبي حفص عمر بن الخضر بن اللمش بن الدزمش التركي
",000,False,000,False,False,False,2,571
"### ||| * 
",000,False,000,False,False,False,3,451
"### || 17 - تاريخ حران لأبي المحاسن ابن سلامة الحراني 
",000,False,000,False,False,False,2,1160
"### ||| * 
",000,False,000,False,False,False,3,837
"### || 18 - (1) الاستسعاد بمن لقيته من صالحي العباد في البلاد لأبي الفرج ناصح الدين عبد الرحمن بن نجم بن عبد الوهاب الأنصاري المعروف بابن الحنبلي  554 634 - /1159 1236 
",000,False,000,False,False,False,2,5910
"### ||| * 
",000,False,000,False,False,False,3,5724
"### || 19 - ، 20، 21 (1) سيرة أحمد بن طولون </span> و سيرة خمارويه و سيرة محمد بن طغج الإخشيد لابن زولاق "" 306 387 /919 997 ""
",000,False,000,False,False,False,2,17417
"### ||| 19 - سيرة أحمد بن طولون لابن زولاق
",000,False,000,False,False,False,3,164
"### ||| 20 - سيرة أبي الجيش خمارويه لابن زولاق
",000,False,000,False,False,False,3,756
"### ||| 21 - سيرة محمد بن طغج الإخشيد لابن زولاق
",000,False,000,False,False,False,3,15862
"### |||| ذكر الإخشيد
",000,False,000,False,False,False,4,15260
"### |||| أبو القاسم أونوجور بن الإخشيد
",000,False,000,False,False,False,4,279
"### ||| - 22 - سيرة سيف الدولة لأبي الحسن على بن الحسين الزراد الديلمي
",000,False,000,False,False,False,3,241
"### | شذرات من كتب مفقودة في الأدب - 2 - استخرجها وحققها إحسان عباس
",000,False,000,False,False,False,1,25422
"### || - 23 - (1) كتاب المفاوضة لأبي الحسن علي بن محمد بن نصر الكاتب 372 - 437/983 - 1046 
",000,False,000,False,False,False,2,7270
"### ||| * 
",000,False,000,False,False,False,3,6582
"### || 24 - (1) كتاب الربيع لغرس النعمة أبي الحسن محمد بن هلال
",000,False,000,False,False,False,2,6070
"### ||| * 
",000,False,000,False,False,False,3,5334
"### || - 25 - (1)  نزهة الناظر لكمال الدين أبي محمد عبد القاهر بن علوي ابن المهنا
",000,False,000,False,False,False,2,675
"### ||| * 
",000,False,000,False,False,False,3,593
"### || - 26 -  جزء فيه مراثي بني المهذب المعريين
",000,False,000,False,False,False,2,1861
"### || - 27 - جزء جمع فيه ما رثي به أبو العلاء المعري 
",000,False,000,False,False,False,2,1563
"### ||| * 
",000,False,000,False,False,False,3,1427
"### || - 28 -  كتاب الديرة لأبي الحسن علي بن محمد بن المطهر الشمشاطي
",000,False,000,False,False,False,2,765
"### ||| * 
",000,False,000,False,False,False,3,705
