string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### |  معيار الاختيار، فى ذكر المعاهد والديار
",000,False,000,False,False,False,1,9251
"### || المجلس الاول:
",000,False,000,False,False,False,2,4883
"### ||| 1- «جبل الفتح»
",000,False,000,False,False,False,3,194
"### ||| 2- «أسطبونة» «56»
",000,False,000,False,False,False,3,25
"### ||| 3- «مربلة» «58»
",000,False,000,False,False,False,3,34
"### ||| 4- «سهيل» «61»
",000,False,000,False,False,False,3,79
"### ||| 5- مالقة «65»
",000,False,000,False,False,False,3,361
"### ||| 6- «بليش مالقة» «83»
",000,False,000,False,False,False,3,63
"### ||| 7- «قمارش» «86»
",000,False,000,False,False,False,3,88
"### ||| 8- «المنكب» «90»
",000,False,000,False,False,False,3,149
"### ||| 9- «شلوبانية» «104»
",000,False,000,False,False,False,3,105
"### ||| 10- «برجة» «110»
",000,False,000,False,False,False,3,163
"### ||| 11- «دلاية» «118»
",000,False,000,False,False,False,3,39
"### ||| 12- «المرية» «120»
",000,False,000,False,False,False,3,199
"### ||| 13- «طبرنش» «133»
",000,False,000,False,False,False,3,55
"### ||| 14- «بيرة» «138»
",000,False,000,False,False,False,3,114
"### ||| 15- «مجاقر» «142»
",000,False,000,False,False,False,3,48
"### ||| 16- «قنتورية» «144»
",000,False,000,False,False,False,3,68
"### ||| 17- «برشانة» «149»
",000,False,000,False,False,False,3,81
"### ||| 18- «أورية» «153»
",000,False,000,False,False,False,3,45
"### ||| 19- «بليش الشقراء» «158»
",000,False,000,False,False,False,3,74
"### ||| 20- «بسطة» «162»
",000,False,000,False,False,False,3,146
"### ||| 21- «أشكر» «169»
",000,False,000,False,False,False,3,45
"### ||| 22- «أندرش» «172»
",000,False,000,False,False,False,3,63
"### ||| 23- «شبالش» «175»
",000,False,000,False,False,False,3,42
"### ||| 24- «وادى آش» «176»
",000,False,000,False,False,False,3,147
"### ||| 25- «فنيانة» «182»
",000,False,000,False,False,False,3,42
"### ||| 26- «مدينة غرناطة» «185»
",000,False,000,False,False,False,3,545
"### ||| 27- «الحمة» «206»
",000,False,000,False,False,False,3,101
"### ||| 28- «صالحة» «212»
",000,False,000,False,False,False,3,50
"### ||| 29- «اليرة ومنتفريد» «213»
",000,False,000,False,False,False,3,28
"### ||| 30- «لوشة» «215»
",000,False,000,False,False,False,3,99
"### ||| 31- «أرجذونة» «220»
",000,False,000,False,False,False,3,47
"### ||| 32- «أنتقيرة» «223»
",000,False,000,False,False,False,3,86
"### ||| 33- «ذكوان» «227»
",000,False,000,False,False,False,3,54
"### ||| 34- «قرطمة» «229»
",000,False,000,False,False,False,3,53
